university_name,year,world_rank,country,national_rank,quality_of_education,citations,patents,score,award,pub,teaching,international,research,num_students,student_staff_ratio
University of Bristol,2014,123,United Kingdom,8,177,99,338,49.97,16.3,46.3,39.6,75,41.2,17906,14
University of Bristol,2015,123,United Kingdom,8,194,82,335,49.59,16.3,45.5,43.7,76.6,44.7,17906,14
Uppsala University,2014,124,Sweden,4,62,99,737,49.96,27.4,49.5,38.9,57.8,49.7,25266,18.2
Uppsala University,2015,124,Sweden,3,73,93,871,49.57,27.4,49.8,40.2,57.5,53,25266,18.2
Nagoya University,2015,125,Japan,9,39,146,78,49.57,25.3,44.3,37.5,31.8,31.8,15529,7.9
University of Iowa,2014,125,USA,63,223,87,115,49.95,0,45.3,44.2,29.3,31.6,27526,11.6
Stony Brook University,2014,126,USA,64,170,69,100,49.92,0,36.9,32.5,57.8,22.9,21908,10.9
University of Groningen,2014,127,Netherlands,5,293,107,338,49.89,18.8,52.6,36,53,48.6,24556,25.6
Radboud University Nijmegen,2014,129,Netherlands,6,118,114,552,49.85,0,51.7,29.7,58.6,46.1,17713,13
VU University Amsterdam,2015,129,Netherlands,6,367,68,871,49.44,0,55.5,35.5,50.6,43.2,23280,16.3
Korea University,2014,130,South Korea,4,355,220,34,49.84,0,49.1,46.2,35.5,42.2,24043,15.8
Nagoya University,2014,132,Japan,9,67,134,68,49.82,14.1,45.2,37.4,28,32.1,15529,7.9
Radboud University Nijmegen,2015,134,Netherlands,7,128,93,410,49.3,0,50.4,30.5,61.6,46.7,17713,13
University of Montreal,2014,134,Canada,5,309,87,426,49.79,0,50.9,45.7,75.6,42.9,38264,20.3
Nanyang Technological University,2015,135,Singapore,2,367,212,32,49.29,0,50.5,43.9,92.5,55.9,25028,16.2
Ghent University,2014,136,Belgium,2,115,81,121,49.73,13.3,57.1,41,49.5,48.9,32166,34.1
University of Miami,2015,137,USA,64,367,82,73,49.09,0,39.5,42.7,56.7,27.2,15286,5.7
Stony Brook University,2015,138,USA,65,186,93,96,49.09,0,36,32.8,60.5,24.4,21908,10.9
University of Miami,2014,138,USA,66,355,87,78,49.62,0,41,43.2,32.9,25.8,15286,5.7
University of Nottingham,2015,140,United Kingdom,10,131,146,138,49.02,20,45.9,39.9,70.6,35.8,30144,15
McMaster University,2014,141,Canada,6,210,87,159,49.51,18.8,45.7,35.3,68,42.7,23823,19.3
University of Iowa,2015,141,USA,67,233,115,121,49.01,0,44.7,41.9,31.7,33.5,27526,11.6
University of Birmingham,2014,142,United Kingdom,10,58,150,204,49.48,9.4,45.7,42.8,72.2,39.6,25295,16.4
VU University Amsterdam,2014,144,Netherlands,7,355,87,737,49.47,0,55.3,33.1,49.2,38.8,23280,16.3
Monash University,2015,145,Australia,5,277,182,99,48.91,0,58.6,43.7,79.6,54.4,50882,40.5
Wake Forest University,2014,145,USA,68,242,150,128,49.46,0,25.8,36.1,23.7,21.8,7326,4.6
University of Southampton,2014,146,United Kingdom,11,315,107,259,49.42,0,46.8,33.2,79.1,31.4,20925,13.5
University of Nottingham,2014,147,United Kingdom,12,128,150,159,49.41,20,46.5,38.4,70.3,36.3,30144,15
Nanyang Technological University,2014,148,Singapore,2,355,220,26,49.35,0,50.4,37.7,91,54.3,25028,16.2
University of Southampton,2015,148,United Kingdom,11,329,101,334,48.77,0,46.2,35.2,82.4,34.1,20925,13.5
University of the Witwatersrand,2015,149,South Africa,1,61,321,291,48.75,0,33,22.3,66.3,21.7,23321,18.6
McMaster University,2015,150,Canada,6,222,101,222,48.74,18.8,44.5,38.1,69.4,43.2,23823,19.3
University of Leeds,2014,151,United Kingdom,13,84,134,280,49.23,0,43.3,34.9,68.5,38.2,27703,14.7
University of Montreal,2015,151,Canada,7,320,101,540,48.72,0,50.6,43.8,76.7,44.4,38264,20.3
University of Birmingham,2015,152,United Kingdom,12,65,146,170,48.7,9.4,44.7,42.8,75.8,39.8,25295,16.4
University of Basel,2014,154,Switzerland,5,77,134,426,49.17,16.3,39.4,39.1,91.1,41,12551,17.3
"University of California, Santa Cruz",2015,154,USA,71,175,115,183,48.59,0,29,30.6,54.6,31.9,17404,22.7
University of Cincinnati,2015,157,USA,72,188,128,263,48.56,0,37.9,32,26,22.4,36108,15.7
University of Bonn,2015,158,Germany,8,58,146,341,48.54,19.8,39.8,32.2,54.8,22.2,32474,70.4
Wake Forest University,2015,159,USA,73,265,128,124,48.52,0,25,33.3,26,23.5,7326,4.6
University of Basel,2015,160,Switzerland,5,83,136,486,48.48,16.3,39.2,41.2,91.2,41.1,12551,17.3
University of Leeds,2015,161,United Kingdom,13,62,136,265,48.41,0,42.5,39.4,67.6,39.1,27703,14.7
University of Houston,2014,162,USA,70,355,493,89,48.91,0,36.7,37,31.5,23.8,40325,43.7
"University of California, Santa Cruz",2014,163,USA,71,160,114,227,48.89,0,29.4,25.9,39.4,29.1,17404,22.7
Pohang University of Science and Technology,2015,165,South Korea,5,367,212,24,48.24,0,29.9,52.7,36,49.3,3055,10.1
Stockholm University,2015,168,Sweden,5,129,88,839,48.23,27.4,40.4,30.1,53.2,45,31715,23.7
University of Gothenburg,2014,168,Sweden,5,248,107,737,48.79,15.4,42.7,23.4,47.1,35.8,26420,16.4
University of Padua,2015,169,Italy,2,281,182,351,48.17,0,48.2,20.7,40.4,18.2,62577,18.3
Monash University,2014,170,Australia,6,277,250,159,48.71,0,58.6,42.5,78.3,48.9,50882,40.5
Yeshiva University,2015,171,USA,76,200,161,128,48.11,0,31.5,45.2,27.6,23.9,6753,5.5
University of Milan,2015,172,Italy,3,162,212,438,48.07,0,46.3,25.3,37.4,22.9,58618,24.3
Yeshiva University,2014,172,USA,75,174,159,138,48.67,0,32.9,47.3,25.6,20.6,6753,5.5
Hanyang University,2014,174,South Korea,5,355,406,28,48.63,0,39.8,30.4,42.9,27.7,16729,10.4
Technical University of Denmark,2015,174,Denmark,3,351,161,46,48.06,11.5,39,39.9,79.7,28.2,9990,5
University of Strasbourg,2014,176,France,7,59,250,204,48.61,28.8,35.5,25.2,69.2,21.1,46208,17.8
University of Cincinnati,2014,177,USA,78,305,159,204,48.6,0,39.7,31.8,25.4,22.3,36108,15.7
Hokkaido University,2015,178,Japan,10,279,287,53,47.97,16.3,42.2,38.4,25.2,27.5,18162,8.2
Shanghai Jiao Tong University,2015,180,China,3,335,212,198,47.96,0,68.5,37.9,23.9,37.9,38191,12.8
University of Milan,2014,181,Italy,2,162,200,481,48.48,0,46,25.7,35.6,19.8,58618,24.3
Iowa State University,2014,182,USA,80,273,75,338,48.47,0,38.9,35.6,38.8,32.4,29991,17.4
University of Strasbourg,2015,182,France,7,71,264,269,47.89,28.8,34.6,28.6,69.5,23.4,46208,17.8
University of Houston,2015,184,USA,80,367,511,156,47.83,0,35.9,39.3,33.1,25.8,40325,43.7
University of Padua,2014,184,Italy,3,278,176,737,48.4,0,48.7,19.3,38.9,17.3,62577,18.3
Pohang University of Science and Technology,2014,186,South Korea,6,355,220,25,48.35,0,30.6,54.2,33.8,49,3055,10.1
University of Lausanne,2015,186,Switzerland,6,102,115,683,47.73,0,33.2,29.4,85.1,39.9,11964,13.1
Iowa State University,2015,187,USA,81,286,82,339,47.71,0,39.3,36.4,40.6,30.9,29991,17.4
Stockholm University,2014,187,Sweden,6,184,99,637,48.27,27.4,39.9,28.6,53.4,41.4,31715,23.7
Hokkaido University,2014,188,Japan,12,260,283,61,48.18,16.3,44,41,24.6,28.3,18162,8.2
Fudan University,2014,189,China,3,355,310,100,48.14,0,56.3,41.6,37.9,31.9,32175,12.2
Wayne State University,2015,189,USA,82,367,125,117,47.67,0,38.1,32,30.7,15.2,23065,10.7
University of Sussex,2014,190,United Kingdom,15,138,176,481,48.12,22.4,29,29.5,80.1,32.2,12001,17.4
Zhejiang University,2015,191,China,4,367,368,106,47.66,0,68.5,36,21.5,33.1,47508,15.9
Hanyang University,2015,192,South Korea,6,367,368,31,47.6,0,40.5,31.5,48.4,32.3,16729,10.4
Wayne State University,2014,192,USA,83,355,125,181,48.07,0,37.8,35.3,28.2,15.7,23065,10.7
University of Ottawa,2015,193,Canada,9,223,212,496,47.6,0,44,37.9,63.2,34.7,36733,26.3
University of Lausanne,2014,194,Switzerland,6,95,134,637,48.05,0,33.9,27.3,84.5,39.7,11964,13.1
Fudan University,2015,195,China,5,367,368,123,47.56,0,56.1,45.6,37.4,34,32175,12.2
Shanghai Jiao Tong University,2014,195,China,4,325,250,138,48.02,0,65.9,35.7,22.8,31.8,38191,12.8
University of Kansas,2015,196,USA,85,228,161,127,47.52,0,39.2,30.6,32.2,20.1,NA,NA
Technical University of Denmark,2014,197,Denmark,3,339,200,48,47.98,11.5,39,38.9,77.4,26.9,9990,5
University of Liverpool,2015,199,United Kingdom,15,176,128,377,47.49,13.3,41.2,31.3,79.5,33.2,18815,13.6
University of Bern,2015,200,Switzerland,7,184,93,433,47.49,0,41.3,42,80.7,36.9,14708,22.5
Cardiff University,2015,201,United Kingdom,16,321,146,193,47.46,16.3,39.2,30.5,69.3,30.4,23347,13.1
University of Bern,2014,201,Switzerland,7,166,99,426,47.93,0,40.3,38.9,78.5,31.4,14708,22.5
University of Illinois at Chicago,2015,203,USA,88,367,287,129,47.39,0,43.7,43,53.4,34.1,24313,9.2
University of Kansas,2014,203,USA,86,216,159,194,47.82,0,39.5,33.9,33.6,19.8,NA,NA
University of Erlangen-Nuremberg,2015,204,Germany,13,231,146,361,47.36,0,39.7,28.4,49,15.3,36146,53.9
University of Vienna,2014,205,Austria,1,200,150,737,47.78,0,37,35.8,89.5,36.1,34651,20.5
Zhejiang University,2014,206,China,5,355,493,94,47.76,0,66.5,35.9,21,32.1,47508,15.9
Claude Bernard University Lyon 1,2015,207,France,10,367,234,151,47.31,0,40.2,19.1,52.1,17.2,35308,16.1
University of Bologna,2015,208,Italy,4,350,212,354,47.28,0,48.1,31,43.1,23.2,85532,22.9
Cardiff University,2014,209,United Kingdom,16,306,310,170,47.74,16.3,42.4,28,70.6,30.9,23347,13.1
Queen Mary University of London,2015,209,United Kingdom,17,147,212,255,47.25,0,32.1,32.4,88.6,32.9,14260,14
University of Liverpool,2014,211,United Kingdom,17,159,134,373,47.69,13.3,42,31.1,75,31.2,18815,13.6
Newcastle University,2015,212,United Kingdom,18,367,234,365,47.17,0,37.6,30.3,73.8,29.6,20174,15.2
University of Ottawa,2014,212,Canada,9,355,159,481,47.69,0,43.3,36.5,62.4,34.8,36733,26.3
University of Erlangen-Nuremberg,2014,213,Germany,14,222,134,307,47.69,0,39.3,32.7,49.6,16.5,36146,53.9
"University of California, Riverside",2015,214,USA,89,247,161,194,47.13,0,32.2,29.4,61.6,27.5,20626,22
University of Kiel,2015,215,Germany,17,193,161,310,47.11,13.3,29.7,31.1,44.2,24.3,24444,23.8
Nanjing University,2014,217,China,6,331,363,57,47.67,0,51.5,36.8,50.8,23.2,29743,13.3
University of Connecticut,2015,218,USA,90,296,197,186,47.06,0,35,37.6,38.8,27.1,25742,13
University of Illinois at Chicago,2014,218,USA,90,355,220,170,47.63,0,43.9,45.5,43.3,34.9,24313,9.2
University of Bologna,2014,219,Italy,4,342,187,552,47.59,0,48.1,30.7,40.7,18.6,85532,22.9
University of Manitoba,2014,220,Canada,10,149,220,227,47.56,0,35.4,30.8,40,29.3,28576,27.8
University of Turin,2015,221,Italy,5,315,197,613,47.04,0,40,29.4,39.3,20.3,67552,66
"University of California, Riverside",2014,222,USA,91,228,134,259,47.53,0,32.7,25.9,62.2,25.8,20626,22
University of Manitoba,2015,222,Canada,10,157,212,175,47.04,0,34.5,31.6,43.4,29.4,28576,27.8
University of Vienna,2015,223,Austria,1,191,161,671,47.03,0,36.5,35.2,91,39.7,34651,20.5
Maastricht University,2015,225,Netherlands,8,367,234,281,47,0,41.4,32.4,89.7,48.1,15626,18.9
Laval University,2014,226,Canada,11,285,220,109,47.47,0,36.9,37.7,54,29.1,27227,16.2
National Cheng Kung University,2015,226,Taiwan,2,367,812,436,46.97,0,40.7,31.8,26.7,40.1,21234,14.4
Laval University,2015,229,Canada,11,292,182,140,46.95,0,36.7,35.8,55.7,29.9,27227,16.2
Newcastle University,2014,229,United Kingdom,19,355,200,481,47.42,0,38.5,29.7,76.3,28.3,20174,15.2
Claude Bernard University Lyon 1,2014,230,France,10,355,220,204,47.42,0,41,21.2,50.6,16.3,35308,16.1
RWTH Aachen University,2015,230,Germany,18,357,182,158,46.9,0,40.6,39,56.8,29.9,37917,27.6
University of Turin,2014,231,Italy,5,311,220,552,47.4,0,40.3,26.1,39.7,20.9,67552,66
University of Kiel,2014,232,Germany,17,180,220,280,47.39,13.3,31.2,29.7,44.2,22.7,24444,23.8
University of Connecticut,2014,233,USA,94,282,200,204,47.35,0,34.6,36.1,38.7,22.8,25742,13
Tulane University,2014,234,USA,95,298,283,194,47.34,0,26.6,43,29,20.6,11381,8.4
Brandeis University,2014,236,USA,97,49,493,128,47.31,0,18.4,28.8,50.6,24.3,5495,12.6
University of Gothenburg,2015,237,Sweden,6,257,136,871,46.79,15.4,41.3,24.1,46.8,38.2,26420,16.4
RWTH Aachen University,2014,238,Germany,19,346,187,138,47.26,0,41.1,40.4,55.5,31.3,37917,27.6
University College Dublin,2015,238,Ireland,2,241,128,278,46.79,0,34.1,31.7,79.4,28.1,22193,24.5
University of Science and Technology of China,2015,239,China,6,367,368,452,46.73,0,50.8,36.9,26.3,27.3,14290,7.9
University of Leicester,2015,240,United Kingdom,19,367,197,385,46.72,0,31,29.8,83.9,31.6,14541,13.4
Autonomous University of Barcelona,2015,241,Spain,3,367,264,277,46.72,0,44.5,30.4,46.4,29.2,30538,12.3
Rensselaer Polytechnic Institute,2014,243,USA,100,120,159,138,47.2,0,23.1,30.7,35.6,35.5,6671,15
Nanjing University,2015,244,China,7,342,234,164,46.61,0,53.7,34.6,50.2,23.3,29743,13.3
National Cheng Kung University,2014,246,Taiwan,2,355,800,307,47.16,0,43.6,31.5,24.9,40.7,21234,14.4
University of Delaware,2014,247,USA,101,297,250,76,47.16,16.3,32.2,27,37.1,35.5,19262,15.9
University of Florence,2015,247,Italy,6,327,197,564,46.58,0,38.8,18.1,37.4,17.3,54290,17.2
University of Cape Town,2015,248,South Africa,2,104,234,268,46.58,0,37.3,26.8,76.7,35.3,20040,12.1
Maastricht University,2014,250,Netherlands,8,355,283,307,47.11,0,41.5,33.1,89.1,47.1,15626,18.9
University of Sussex,2015,253,United Kingdom,22,151,161,553,46.49,22.4,30.3,31.9,83.6,30.4,12001,17.4
University of Tsukuba,2014,253,Japan,13,183,176,259,47,19.6,35.7,36.6,32.6,20.9,15930,12.6
Autonomous University of Barcelona,2014,254,Spain,3,355,250,204,46.99,0,45.3,30.6,48.3,28,30538,12.3
Delft University of Technology,2015,255,Netherlands,9,307,264,146,46.46,0,38.9,55.5,77.9,71.4,15920,19.4
Virginia Polytechnic Institute and State University,2015,256,USA,98,283,234,181,46.46,0,40.9,40.1,28.9,40,30850,18.6
University of Lisbon,2015,257,Portugal,1,337,197,495,46.43,8.1,45,30.1,46.8,22.8,47849,17.5
Drexel University,2015,258,USA,99,367,287,91,46.43,0,29.5,31.8,42.2,14.3,20713,10.8
Oregon State University,2015,260,USA,101,189,161,389,46.42,0,34.7,27.8,36.7,21.1,22578,16.8
Drexel University,2014,261,USA,107,355,220,89,46.89,0,28.6,33.9,38.2,15,20713,10.8
Durham University,2015,261,United Kingdom,23,132,197,460,46.42,0,34.5,37.2,80.4,40.7,15489,15.7
University of Tsukuba,2015,262,Japan,12,202,212,213,46.41,19.6,34.7,33.4,36.1,21.6,15930,12.6
University of Leicester,2014,263,United Kingdom,22,355,220,373,46.87,0,32.7,32.5,81.6,32.9,14541,13.4
Durham University,2014,264,United Kingdom,23,122,250,373,46.87,0,34.1,38.3,76.8,38.3,15489,15.7
Medical University of Vienna,2015,265,Austria,2,367,212,366,46.39,9.4,33.4,28.6,73.1,17,7426,2.9
Oregon State University,2014,265,USA,109,175,176,338,46.82,0,35.3,25.7,35.4,19.7,22578,16.8
University of Florence,2014,266,Italy,6,316,200,637,46.8,0,38.9,17.7,37.3,13.2,54290,17.2
University of Cape Town,2014,267,South Africa,2,97,220,552,46.78,0,35.6,26.3,77.2,31,20040,12.1
University College Dublin,2014,269,Ireland,2,227,150,307,46.77,0,34.8,27.1,79.6,29,22193,24.5
University of Waterloo,2015,269,Canada,12,367,234,626,46.34,0,42.2,30.9,63.1,40.4,30726,24.2
Charles University in Prague,2015,270,Czech Republic,1,238,182,636,46.32,0,43.9,31.5,53.9,24.3,51438,13
University of Science and Technology of China,2014,270,China,8,355,363,481,46.75,0,47.5,38.7,25.8,26.1,14290,7.9
Virginia Polytechnic Institute and State University,2014,271,USA,111,270,200,227,46.72,0,40.4,33.7,27.5,40.4,30850,18.6
Tulane University,2015,272,USA,105,324,264,258,46.31,0,26.1,40.7,29.7,20.7,11381,8.4
Brandeis University,2015,274,USA,107,51,428,249,46.29,0,18.4,25.8,54.7,29.1,5495,12.6
Delft University of Technology,2014,275,Netherlands,9,289,250,227,46.63,0,38.6,55.8,74.2,67.3,15920,19.4
Northeastern University,2015,275,USA,108,316,264,86,46.29,0,29.9,36.4,54.7,21.9,18539,15.1
University of Aberdeen,2014,276,United Kingdom,24,347,250,481,46.63,13.3,31.9,27.9,83.6,26.8,12938,15.8
Sun Yat-sen University,2015,277,China,8,367,287,221,46.25,0,54.9,32.5,37,25.2,51351,16.6
University of Waterloo,2014,280,Canada,13,355,283,637,46.58,0,41.6,28.9,62,37.4,30726,24.2
University of Delaware,2015,281,USA,109,318,234,120,46.21,16.3,30.8,29,40.6,36.3,19262,15.9
Rensselaer Polytechnic Institute,2015,282,USA,110,137,182,210,46.19,0,22.1,30.9,42.8,26.2,6671,15
University of Bergen,2015,283,Norway,3,367,212,871,46.18,0,36.7,29.5,65.3,27.9,11623,11.1
Dalhousie University,2014,284,Canada,14,355,250,338,46.52,0,34.1,32.6,59.1,28.8,15064,14.4
University of Aberdeen,2015,285,United Kingdom,26,360,287,422,46.17,13.3,31.3,28,84.1,30.2,12938,15.8
Dalhousie University,2015,286,Canada,14,367,264,384,46.17,0,34.3,33.6,71.6,30,15064,14.4
University of Duisburg-Essen,2015,288,Germany,23,367,321,348,46.13,0,30.6,21.9,49.2,13.7,36051,46.6
University of Porto,2014,290,Portugal,2,83,250,426,46.42,0,42.7,20.5,43.9,17.8,32720,18.8
Sun Yat-sen University,2014,292,China,9,355,310,138,46.42,0,53.2,29.4,25.5,18.2,51351,16.6
University of Warwick,2015,293,United Kingdom,27,210,161,234,46.05,29.8,39.3,41.1,85.7,45.8,18529,16.6
University of Valencia,2015,294,Spain,4,367,264,548,46.03,0,41.1,17.9,43.7,12,58413,15.4
University of Pisa,2015,295,Italy,8,273,212,528,46.03,23.1,37,22.4,36.7,18.8,47247,18
University of Valencia,2014,301,Spain,4,355,220,552,46.34,0,41.8,16.6,39.3,12.4,58413,15.4
University of Duisburg-Essen,2014,303,Germany,27,355,406,426,46.31,0,30.8,20.4,47.7,12,36051,46.6
Autonomous University of Madrid,2015,304,Spain,5,367,321,443,45.92,0,39.3,28.6,48.8,19.3,28296,13
University of Bergen,2014,305,Norway,3,355,283,737,46.31,0,36.9,30.8,62.9,28.2,11623,11.1
Stellenbosch University,2015,306,South Africa,3,367,321,219,45.92,0,31.2,30,47.8,31.2,21849,23
University of Pisa,2014,308,Italy,8,268,200,426,46.3,23.1,38.1,20.3,35,18.1,47247,18
Autonomous University of Madrid,2014,309,Spain,5,355,310,426,46.29,0,39,24.5,46,19.4,28296,13
University of St Andrews,2015,309,United Kingdom,28,145,321,189,45.89,0,29.3,35.7,90.5,35.9,8338,12.7
Medical University of Vienna,2014,310,Austria,2,355,283,426,46.29,9.4,32.9,25.9,69.4,15.9,7426,2.9
Stellenbosch University,2014,311,South Africa,3,355,310,259,46.26,0,30.2,24.7,46.7,29.3,21849,23
University of Antwerp,2015,312,Belgium,6,367,234,372,45.84,0,35.8,34.6,61,33.6,12346,30.3
Charles University in Prague,2014,313,Czech Republic,1,337,220,637,46.23,0,43.6,29.1,53.2,19.9,51438,13
University of Stuttgart,2015,316,Germany,27,82,511,376,45.79,0,26.7,30.6,59.3,17.3,24099,45.4
Northeastern University,2014,318,USA,119,295,250,115,46.2,0,28.8,34.5,48.5,19.8,18539,15.1
Kansas State University,2014,319,USA,120,116,220,259,46.2,0,28,26.1,34.1,15.5,21379,15.1
University of Vermont,2014,320,USA,121,178,406,373,46.2,0,26.4,26.6,21,19.3,NA,NA
University of St Andrews,2014,323,United Kingdom,28,125,363,280,46.15,0,29,36.9,88.8,32.2,8338,12.7
University of Vermont,2015,324,USA,119,198,368,397,45.7,0,26.6,26.8,21,19.4,NA,NA
University of Warwick,2014,324,United Kingdom,29,198,200,259,46.13,0,38.9,39.8,82.9,42.4,18529,16.6
University of York,2015,325,United Kingdom,29,367,161,406,45.69,0,32.5,32.2,75,33.8,NA,NA
Boston College,2015,326,USA,120,367,197,386,45.65,0,22.3,32.4,54.6,29.1,13216,17.4
University of Innsbruck,2014,326,Austria,3,190,310,373,46.12,9.4,24.8,25.2,91.4,17.2,18209,16.9
University of Pavia,2015,327,Italy,10,295,264,680,45.64,0,30.7,26.3,43.5,19.2,22958,40.6
University of Antwerp,2014,330,Belgium,7,355,220,373,46.08,0,35.8,34.5,61.1,33.2,12346,30.3
Boston College,2014,332,USA,124,355,200,338,46.06,0,22.5,26.3,54.4,26.4,13216,17.4
University of Exeter,2015,333,United Kingdom,30,264,428,353,45.59,0,34.9,32,79.8,32.7,17755,18.8
University of East Anglia,2015,336,United Kingdom,31,206,146,500,45.58,0,28.3,25.2,76.5,22.6,14992,14.7
University of York,2014,336,United Kingdom,30,355,159,481,45.99,0,33,31.7,73.6,33.2,NA,NA
University of Trieste,2015,342,Italy,13,367,287,616,45.54,0,25.1,28.7,50.7,16,18135,25.8
University of Pavia,2014,344,Italy,12,276,283,637,45.92,0,31.4,27.9,40.5,20,22958,40.6
Technical University of Berlin,2015,345,Germany,30,85,368,177,45.52,0,29.1,42.2,70.4,32.3,NA,NA
University of Innsbruck,2015,347,Austria,3,197,287,442,45.51,9.4,24.1,23.9,93.4,17.1,18209,16.9
Eindhoven University of Technology,2015,348,Netherlands,11,367,321,279,45.51,0,31.1,38.3,69,47.1,8176,16
San Diego State University,2014,348,USA,127,240,200,481,45.88,0,25,15,22.2,23.1,27420,31.7
University of East Anglia,2014,350,United Kingdom,33,187,187,637,45.87,0,29.9,27.2,72.3,24,14992,14.7
University of Southern Denmark,2014,352,Denmark,4,355,310,280,45.83,0,35.5,18.5,66.4,18.3,22210,12.7
University of Victoria,2015,352,Canada,16,367,234,853,45.48,0,29.7,21.6,70.1,30.6,17581,21.5
Eindhoven University of Technology,2014,353,Netherlands,11,355,310,307,45.82,0,31.9,37.3,68.7,47.9,8176,16
Kansas State University,2015,353,USA,125,130,212,294,45.47,0,27.9,27,41.5,16.5,21379,15.1
University of Otago,2014,355,New Zealand,2,355,220,637,45.8,0,34.6,24.6,84.8,26.9,18600,20.3
University of Southern Denmark,2015,356,Denmark,4,367,321,320,45.46,0,37.6,19.5,67.1,20.5,22210,12.7
University of Exeter,2014,357,United Kingdom,34,250,406,481,45.79,0,33.6,29.2,76.7,32.8,17755,18.8
University of Otago,2015,357,New Zealand,2,367,287,542,45.44,0,34.1,27.1,81.5,27.7,18600,20.3
San Diego State University,2015,361,USA,128,248,264,509,45.41,0,24.2,19.7,26.9,24.8,27420,31.7
Simon Fraser University,2015,362,Canada,17,367,368,381,45.4,0,32.7,24.6,61.4,29.3,26640,28.3
University of Eastern Finland,2015,366,Finland,2,367,321,861,45.37,0,28.8,24.3,44.1,21.6,10798,17.3
University of Guelph,2014,366,Canada,15,355,125,373,45.74,0,31.1,20.6,39.1,22.6,21643,28.3
University of Trieste,2014,367,Italy,14,355,283,426,45.73,0,25.4,19.1,49.8,15,18135,25.8
University of Ferrara,2015,369,Italy,15,367,287,656,45.36,0,24.9,19.5,42.1,15.2,18882,30.2
City University of Hong Kong,2015,373,Hong Kong,5,367,511,387,45.33,0,38.5,31,71.3,32.9,10015,7.1
University of Eastern Finland,2014,373,Finland,2,355,310,737,45.69,0,27.9,23.8,39.7,18.6,10798,17.3
City University of Hong Kong,2014,375,Hong Kong,4,355,493,259,45.67,0,37.9,30.9,65.9,33.5,10015,7.1
Pompeu Fabra University,2015,375,Spain,9,367,428,604,45.31,0,26.4,25.1,63.2,28.3,10901,18.3
University of Victoria,2014,377,Canada,16,355,363,737,45.66,0,30.6,18.1,67,28.5,17581,21.5
University of Turku,2015,383,Finland,3,367,812,568,45.27,0,33,24.3,46.3,21.8,12326,14.6
National Chiao Tung University,2015,386,Taiwan,3,367,428,871,45.24,0,32.1,35,30.7,40.7,12646,16.6
University of Ferrara,2014,387,Italy,17,355,310,552,45.6,0,25.1,15.4,38.6,14.4,18882,30.2
Ewha Womans University,2015,390,South Korea,11,367,645,107,45.2,0,27.7,23.5,36,18,17625,14.4
Temple University,2014,390,USA,136,262,493,194,45.59,0,33.4,35.4,22.4,15,33268,13.3
Aalto University,2014,392,Finland,4,355,609,138,45.58,0,32,26.9,64.3,17,16099,24.2
Simon Fraser University,2014,393,Canada,17,355,406,373,45.58,0,33.3,22,58.4,27.9,26640,28.3
Chalmers University of Technology,2014,395,Sweden,9,349,493,737,45.57,0,30.2,26.2,61.5,34.8,8605,11.6
York University,2014,398,Canada,18,355,250,737,45.55,0,30.6,24.2,55.3,28.1,48007,39.4
Chalmers University of Technology,2015,402,Sweden,9,361,428,871,45.16,0,29.7,35.7,62.5,32.8,8605,11.6
University of Bath,2015,405,United Kingdom,34,367,287,478,45.14,0,27.9,29.2,76.1,25.1,12830,18.8
National Tsing Hua University,2015,407,Taiwan,4,262,428,731,45.14,0,32.6,39.4,24.8,40.3,10221,13.5
University of Twente,2015,408,Netherlands,12,367,368,288,45.14,0,31.4,32.3,67.2,45.3,6631,12
National Chiao Tung University,2014,411,Taiwan,3,355,609,737,45.49,0,34.7,37.3,28.9,42.1,12646,16.6
George Mason University,2015,414,USA,140,367,264,526,45.13,31.9,28.7,26.3,35.8,20.3,26622,17
Wuhan University,2015,415,China,19,367,645,576,45.13,0,45.6,34.1,33.1,17.4,46227,14.4
Swedish University of Agricultural Sciences,2015,416,Sweden,10,146,428,871,45.12,0,29.1,27.9,49.6,25.2,3879,4.6
National Tsing Hua University,2014,418,Taiwan,4,244,493,552,45.46,0,32.7,39.5,21.5,35.4,10221,13.5
University of Warsaw,2014,419,Poland,1,119,363,637,45.45,0,30.6,18.7,42.8,14.3,49292,14.1
King Saud University,2014,420,Saudi Arabia,1,355,800,115,45.45,0,40.5,21.4,72.2,21.1,40666,13.4
Aalto University,2015,421,Finland,4,367,645,246,45.1,0,33.4,31.8,59.4,31.3,16099,24.2
University of Bath,2014,421,United Kingdom,37,355,310,552,45.44,0,27.5,26.7,77.4,25.2,12830,18.8
Lancaster University,2015,426,United Kingdom,35,367,234,673,45.08,0,30.1,35.4,84.7,36.1,11512,14.9
Vienna University of Technology,2014,427,Austria,4,351,406,159,45.43,0,29,39.2,72.4,30.8,26419,52
Vienna University of Technology,2015,427,Austria,5,363,321,171,45.08,0,28.8,43.3,75.9,32.4,26419,52
Swedish University of Agricultural Sciences,2014,433,Sweden,10,355,363,737,45.4,0,30,29,45.2,23.9,3879,4.6
George Mason University,2014,434,USA,141,355,283,637,45.4,31.9,27.9,24.5,37.3,18,26622,17
University College Cork,2015,436,Ireland,3,367,368,195,45.03,0,25.3,26.7,70.8,22.2,15805,22.3
University of Twente,2014,445,Netherlands,12,355,363,338,45.36,0,32.5,32.7,65.5,43.8,6631,12
