university_name,year,world_rank,country,national_rank,quality_of_education,citations,patents,score,award,pub,teaching,international,research,num_students,student_staff_ratio
Kyoto University,2014,16,Japan,2,30,61,18,73.21,37.2,61.2,69.5,27.5,69.5,22809,5.6
"University of California, Los Angeles",2013,16,USA,12,38,6,12,67.84,47.4,71.2,87.3,42.3,93.8,38206,10.3
Kyoto University,2012,17,Japan,2,42,43,23,65.76,35.1,63,76.4,21.1,72,22809,5.6
Kyoto University,2015,17,Japan,2,22,88,16,68.6,37.2,59,70.4,29,68.4,22809,5.6
New York University,2014,17,USA,13,33,32,48,72.29,31.9,56.6,65.4,41.8,58.4,42056,6.8
New York University,2015,18,USA,14,32,46,43,68.39,31.9,56.2,68.3,41.2,62.4,42056,6.8
New York University,2013,19,USA,14,37,33,51,63.99,32.2,55.5,73.8,38.7,67.4,42056,6.8
"University of California, Los Angeles",2012,19,USA,13,62,6,13,64.05,43.4,72.2,85.9,41,92.5,38206,10.3
"University of California, San Diego",2012,20,USA,14,61,10,22,63.11,36.6,64,61.4,31.5,72,27233,6.5
"University of California, San Diego",2013,20,USA,15,33,14,22,63.12,35.8,63.4,63.4,34.2,79,27233,6.5
"University of California, San Diego",2014,20,USA,15,32,19,13,68.36,35.5,65,52,35.6,63,27233,6.5
"University of California, San Diego",2015,21,USA,16,36,15,17,66.59,35.5,62.9,52,37,66.6,27233,6.5
Northwestern University,2015,22,USA,17,163,27,42,66.56,22.1,58.1,72.7,36.7,78.9,18334,13.8
New York University,2012,23,USA,16,89,34,62,60.55,32.9,55.7,60.2,38.1,65.4,42056,6.8
Northwestern University,2014,23,USA,17,151,25,61,66.18,22.1,58.2,70.2,34.4,76,18334,13.8
Seoul National University,2014,24,South Korea,1,355,87,5,66.06,0,67.8,76.4,29.4,79.2,26389,13.9
Seoul National University,2015,24,South Korea,1,367,146,6,64.82,0,67.1,75.5,30.3,77.1,26389,13.9
Duke University,2013,25,USA,19,89,17,24,57.72,15,61.6,72.3,45.8,81.5,15172,4.8
Duke University,2014,26,USA,19,65,13,42,63.56,14.9,61.9,73.9,50,73,15172,4.8
Duke University,2012,27,USA,20,65,12,20,58.37,0,62.7,62.6,46.9,77.9,15172,4.8
University College London,2015,27,United Kingdom,3,21,15,67,62.27,36.2,71.7,70.4,90.6,80.4,26607,10.7
Duke University,2015,28,USA,20,74,15,33,61.55,14.9,61.7,73.5,50.5,75.2,15172,4.8
Northwestern University,2013,28,USA,21,101,24,30,56.12,22.2,57.5,77.6,33.8,87.3,18334,13.8
University of Toronto,2013,29,Canada,1,91,12,101,56.11,17.3,77.6,79.6,65.1,89.4,66198,19.5
University College London,2013,30,United Kingdom,4,24,21,73,56,29.7,67.5,83.5,89,88.8,26607,10.7
University College London,2014,30,United Kingdom,3,20,18,121,61.05,29.5,71.6,70.5,90.2,77.5,26607,10.7
University College London,2012,31,United Kingdom,4,35,33,86,55.21,30.4,67.1,77.8,91.8,84.3,26607,10.7
University of Toronto,2014,31,Canada,1,71,13,149,60.87,17.2,80.5,73.6,70,81.5,66198,19.5
Osaka University,2012,32,Japan,3,77,51,11,54.43,0,55.2,61.8,21.1,56.5,23144,7.8
University of Toronto,2015,32,Canada,1,70,9,145,60.04,17.2,79.1,74.4,71.2,85.1,66198,19.5
Northwestern University,2012,33,USA,23,101,20,35,54.4,22.8,58.1,66.3,35.3,75.5,18334,13.8
University of North Carolina at Chapel Hill,2013,34,USA,24,101,26,42,52.87,16.4,58.6,70.4,32.9,69.3,26518,7.3
Osaka University,2013,35,Japan,3,77,72,17,52.79,0,53.3,59.5,23.6,55.7,23144,7.8
University of Toronto,2012,35,Canada,1,101,18,101,53.43,17.7,79.1,76.9,69,87.4,66198,19.5
University of North Carolina at Chapel Hill,2012,36,USA,25,101,31,29,53.09,16.8,59.2,67.6,20.2,62.6,26518,7.3
"University of California, Santa Barbara",2013,37,USA,25,101,38,101,51.67,35.4,39.3,56.1,58.3,73.5,22020,27.3
University of Utah,2012,38,USA,27,92,67,12,52.64,11.9,46.4,42.1,23.3,41,25674,16.9
University of Southern California,2013,39,USA,27,101,36,40,51.56,26.8,51.3,68.4,43.4,57.1,36534,12.9
"University of California, Santa Barbara",2012,40,USA,29,101,36,101,52.15,36.2,40,55,52.6,65.3,22020,27.3
University of North Carolina at Chapel Hill,2015,40,USA,25,124,19,41,57.09,16.3,61.2,57.9,35.3,58.6,26518,7.3
McGill University,2012,41,Canada,2,70,47,101,51.72,0,57.8,72.8,81.4,78.4,31326,13.7
University of Virginia,2014,41,USA,26,194,55,94,58.6,0,43.4,49.7,30.2,33.9,23845,10.2
University of Virginia,2015,41,USA,26,209,88,97,56.73,0,43.7,48.7,31.8,35.9,23845,10.2
McGill University,2014,42,Canada,2,45,34,204,58.39,0,59.4,61.5,77.8,68.1,31326,13.7
McGill University,2015,42,Canada,2,34,44,132,56.49,0,59.3,63.3,79,69.9,31326,13.7
University of Utah,2013,42,USA,29,101,85,27,51.14,11.6,45.6,43.3,25.2,41.3,25674,16.9
Carnegie Mellon University,2012,43,USA,31,30,61,101,51.6,32.5,35.1,65.7,55,79.5,11885,13.1
Osaka University,2014,43,Japan,5,69,114,34,58.35,0,54.4,52.5,27.6,47.6,23144,7.8
Dartmouth College,2014,44,USA,27,46,125,74,58,0,25.6,38.5,32.7,34.5,6178,6.6
Dartmouth College,2015,44,USA,28,40,136,63,56.35,0,25.4,38.3,33.1,35.4,6178,6.6
University of Southern California,2012,44,USA,32,101,32,23,51.38,27.4,52.1,65.8,41.1,48.7,36534,12.9
Osaka University,2015,45,Japan,5,46,182,18,56.03,0,51.7,51.3,29.1,48,23144,7.8
